commit	parent	status	primary_mean	recovered_mean	recovered_max	combined_max	combined_p95	description
85d467c	60c3aed	keep	0.031352	0.011521	0.421875	0.515625	0.093750	baseline whole-board classifier
b9c740d	85d467c	keep	0.030995	0.011206	0.421875	0.515625	0.093750	winning recipe: ExponentialLR + amsgrad + weight_decay=0.03
66f23ed	b9c740d	discard	0.030816	0.012784	0.500000	0.515625	0.093750	label smoothing=0.1 to reduce overconfidence and improve chessred2k generalization
1420a40	66f23ed	keep	0.030739	0.011048	0.406250	0.515625	0.093750	batch_size=24 to increase gradient noise and improve chessred2k generalization
f3cec33	1420a40	promising	0.030969	0.010574	0.375000	0.515625	0.093750	beta2=0.99 for faster second-moment adaptation to escape plateau
183006d	f3cec33	promising	0.031020	0.010732	0.375000	0.515625	0.093750	ExponentialLR decay to 5% (up from 2%) to preserve gradient signal late in training
1cc7d4a	183006d	promising	0.031020	0.010732	0.375000	0.515625	0.093750	lr=4e-4 (up from 3e-4) to raise resumed effective LR and escape combined-mean plateau
43812fd	1cc7d4a	promising	0.031046	0.010732	0.406250	0.515625	0.093750	focal loss gamma=2.0 to focus gradient on hard piece predictions and reduce empty-square coasting
6811cfb	43812fd	promising	0.030918	0.010732	0.375000	0.515625	0.093750	revert focal loss and lr=4e-4 to standard CE and lr=3e-4 to remove two sequential regressions
1873c18	6811cfb	promising	0.031046	0.010732	0.375000	0.515625	0.093750	revert beta2 from 0.99 to 0.999 to restore stable second-moment estimates after regression
93994b0	1873c18	promising	0.030944	0.010732	0.375000	0.515625	0.093750	ExponentialLR end-LR from 5% back to 2% to tighten late-stage convergence and reduce plateau oscillation
9c2e03c	93994b0	discard	0.030127	0.012784	0.500000	0.515625	0.093750	label smoothing eps=0.1 to reduce overconfidence on easy empty-square predictions and improve chessred2k generalization
c0d2ae1	9c2e03c	discard	0.031352	0.010732	0.406250	0.515625	0.093750	batch_size=32 (up from 24) to reduce gradient noise and improve convergence from combined-mean plateau
2ec5082	1420a40	discard	0.030076	0.012153	0.468750	0.515625	0.093750	ResNet-34 backbone + 2-layer MLP head to break combined-mean plateau with more model capacity
65db0b4	1420a40	discard	0.051011	0.021149	0.437500	0.593750	0.140625	raise input resolution from 256 to 320 so each cell gets 40x40 pixels, adaptive_avg_pool to 8x8 preserves head shape — targets chessred2k small-piece-at-angle error
68e3ba0	1420a40	promising	0.030714	0.011837	0.453125	0.515625	0.093750	add a single transformer encoder layer with learned positional embedding over the 64 cells before the 1x1 head, so neighbors can disambiguate piece overlap and angled-view ambiguity
0316565	68e3ba0	discard	0.033420	0.012626	0.515625	0.546875	0.093750	focal cross-entropy (gamma=2) replaces plain CE so easy empty cells stop dominating the gradient — push capacity to hard piece cells driving chessred2k angled-view error
974644f	68e3ba0	keep	0.029488	0.011206	0.421875	0.500000	0.085156	richer 2-layer head (Conv2d(512,256,1)->GELU->Conv2d(256,13,1)) after the cell-attention block, giving each cell more nonlinear classification capacity on top of the context-aggregated features
0f06862	974644f	discard	0.037377	0.011364	0.406250	0.500000	0.109375	add Sobel edge-magnitude as 4th input channel to give the backbone explicit piece-silhouette signal — targets chessred2k angled-view piece/empty ambiguity
b3fabbb	974644f	promising	0.029948	0.011048	0.437500	0.500000	0.093750	stack cell-attention transformer to 2 layers (from 1) so longer-range cross-cell context can resolve angled-piece ambiguity that single-hop neighbor exchange leaves on the table
978a692	b3fabbb	promising	0.029795	0.011048	0.437500	0.500000	0.093750	add factorized auxiliary losses by marginalizing 13-class logits into a 3-class color (black/empty/white) and 7-class piece-type (empty/b/k/n/p/q/r) softmax via logsumexp, with weight 0.3 each, so the model gets explicit gradient signal on color and shape confusions independently — targets chessred2k angled-view errors where light/dark and silhouette ambiguity are largely orthogonal
0399b00	978a692	keep	0.028978	0.010101	0.390625	0.500000	0.078125	swap backbone from ResNet-18 to ResNet-34 (same 512-dim 8x8 layer4 output, so cell-attn transformer/head/pos-embed load unchanged from resume) — adds depth capacity targeting chessred2k angled-view piece confusions where the architecture has been frozen at the smallest variant for all 13 prior iterations
d0712fb	0399b00	discard	0.048739	0.016888	0.421875	0.640625	0.125000	raise input resolution from 256 to 320 (warp 320x320, ResNet-34 layer4 -> 10x10, existing adaptive_avg_pool2d to 8x8 keeps cell_pos_embed/transformer/head shape-compatible) so each cell sees ~1.56x more pixels — targets chessred2k angled-view piece confusions where small/distant pieces are sub-pixel-detail-limited
47676ac	0399b00	promising	0.029361	0.009943	0.390625	0.500000	0.093750	add directional illumination-gradient augmentation (random-angle multiplicative ramp, ~+/-25% across the board, p=0.6) to simulate the uneven room lighting in chessred2k angled phone photos that the evenly-lit recovered/synthetic training data lacks — targets the chessred2k:val plateau driven by domain mismatch in lighting non-uniformity rather than architecture capacity
7a6e27e	47676ac	discard	0.029820	0.009943	0.390625	0.500000	0.093750	add board-aware positional channels (cell_row, cell_col, square_color in [-1,1]) concatenated with RGB as 6-channel input, with conv1 expanded by zero-init for the new channels so ImageNet-tuned RGB filters are preserved — gives the conv backbone explicit per-pixel cell-grid signal so it can localize cell boundaries even when the upstream warp slips by a few pixels and so square color (light/dark) is a free input rather than something the model must infer from texture, targeting the chessred2k angled-view plateau where pieces overlap cell boundaries and visual square color cues are unreliable
3da3f5c	47676ac	promising	0.029565	0.010259	0.390625	0.500000	0.093750	add FPN-style lateral fusion from layer3 (256ch, 16x16 avg-pooled to 8x8) into layer4 (512ch, 8x8) via a zero-initialized 1x1 conv before the cell-attention transformer, so the per-cell features carry finer-grained piece-silhouette detail from a stage where the spatial map has not yet been averaged to 8x8 — targets chessred2k angled-view confusions on small/boundary-overlapping pieces where layer4's coarse map blurs the discriminative edges; zero-init keeps the resume checkpoint a no-op fine-tune
92f0513	3da3f5c	discard	0.113971	0.084912	0.468750	0.500000	0.203125	upgrade backbone from ResNet-34 to ResNet-50 with a 1x1 channel reducer (2048->512) preserving d_model=512 so the cell-attention transformer / cell_pos_embed / head all load shape-compatible from the resume checkpoint, and updating the FPN lateral_l3 to accept R50's 1024ch layer3 (still zero-init) — targets chessred2k angled-piece confusions where the prior R18->R34 jump (current best) showed the architecture was capacity-limited and R50's deeper Bottleneck stack adds the next tier of feature-extraction depth without breaking the rest of the pipeline
ae7c79f	3da3f5c	discard	0.030459	0.010574	0.421875	0.500000	0.093750	add JPEG re-encoding augmentation (random quality 30-85, p=0.5) to simulate the lossy 8x8-block / chroma-subsampling artifacts present in chessred2k phone-camera photos but absent from the cleanly-rendered recovered/synthetic training images — extends the same source-domain-match line as the recently-promoted illumination-gradient aug, targeting the chessred2k:val plateau driven by photographic-pipeline mismatch rather than model capacity (which the R50 and 320-input attempts showed has diminishing returns at this budget)
