commit	parent	status	primary_mean	recovered_mean	recovered_max	combined_max	combined_p95	description
dcaac51	60c3aed	keep	0.009772	0.007707	0.477885	0.674330	0.009481	baseline dual-head unet
87c9d9b	dcaac51	promising	0.009816	0.006903	0.478200	0.681222	0.008293	baseline dual-head unet
1984e51	87c9d9b	discard	0.010636	0.007070	0.478127	0.678255	0.008570	lr 5e-4 (halved from 1e-3) to reduce early overshoot
4cf3b19	1984e51	promising	0.010079	0.006944	0.478290	0.680894	0.008129	weight_decay 0.01 (10x baseline) with lr 1e-3 for stronger regularization on chessred2k
7d513d6	4cf3b19	keep	0.009251	0.007129	0.478644	0.681246	0.008672	batch_size 48 (1.5x baseline 32) for more stable gradients and better chessred2k generalization
a365979	7d513d6	discard	0.012062	0.007158	0.482533	0.676292	0.009800	baseline dual-head unet
efbeecb	a365979	discard	0.010955	0.007095	0.478653	0.679891	0.008290	AdamW beta2=0.98 (vs default 0.999) for faster optimizer adaptation across domains
f7e50bd	efbeecb	discard	0.010207	0.007018	0.477984	0.679580	0.008181	lr 1.5e-3 (linear scaling with bs48) to find optimal LR for larger batch
eb55fc2	f7e50bd	discard	0.010120	0.007270	0.477937	0.673022	0.008494	soft-argmax beta 40 (2x) for sharper coordinate extraction from heatmaps
8143d62	eb55fc2	discard	0.011654	0.007447	0.477935	0.683765	0.009516	coord_loss_weight 0.5 (2.5x baseline 0.2) to strengthen direct coordinate regression signal
7ee0606	8143d62	discard	0.009980	0.007034	0.479434	0.683664	0.008505	heatmap_sigma 3.0 (1.5x baseline 2.0) for broader target Gaussians and smoother optimization landscape
64e0fe1	7ee0606	discard	0.010755	0.006951	0.478113	0.680837	0.008336	weight_decay 0.02 (2x baseline 0.01) for stronger L2 regularization and improved chessred2k generalization
cfa5ef6	64e0fe1	discard	0.010370	0.007074	0.478210	0.681158	0.008068	batch_size 32 (0.67x baseline 48) for implicit gradient-noise regularization targeting chessred2k generalization
96b218e	cfa5ef6	discard	0.010474	0.006968	0.478072	0.681184	0.008193	lr 0.002 (2x baseline) for stronger resumed optimization escaping early plateau on chessred2k
40b3bad	96b218e	discard	0.010305	0.007237	0.478222	0.681187	0.008566	batch_size 64 (1.33x best) for more stable gradient estimates improving resumed convergence
7b3a0f5	40b3bad	discard	0.010730	0.007022	0.478069	0.681163	0.008202	AdamW beta2 0.95 (vs default 0.999) for faster second-moment stabilization during resumed fine-tuning
a4f0dfc	7b3a0f5	promising	0.009642	0.007017	0.478584	0.680988	0.008158	lr 0.0005 (0.5x) for finer-grained resumed convergence reducing oscillation near optimum
1aa5253	a4f0dfc	discard	0.010810	0.008383	0.518892	0.681180	0.008274	heatmap_sigma 1.5 (0.75x baseline 2.0) for sharper target Gaussians improving coordinate precision via tighter supervision
9940ac5	1aa5253	promising	0.009580	0.007047	0.478387	0.681865	0.008071	coord_loss_weight 0.5 (2.5x baseline 0.2) for stronger direct coordinate regression signal improving mean corner distance
89342c6	9940ac5	crash	0.000000	0.000000	0.000000	0.000000	0.000000	lr 0.0003 (0.6x) for reduced oscillation near optimum enabling finer-grained resumed convergence
69591f3	89342c6	crash	0.000000	0.000000	0.000000	0.000000	0.000000	baseline dual-head unet
3ff3d57	69591f3	discard	0.010120	0.007072	0.478153	0.680904	0.008583	lr 0.0008 (1.6x promising 0.0005) for stronger resumed gradient signal exploring sweet spot between 0.0005 and baseline 0.001 with coord_loss_weight 0.5
8abce39	3ff3d57	discard	0.010553	0.007093	0.477985	0.680609	0.008492	batch_size 32 (0.67x baseline 48) for more frequent gradient updates during resumed fine-tuning with lr 0.0005 and coord_loss_weight 0.5
4f86250	8abce39	discard	0.010685	0.006996	0.479023	0.681183	0.008384	weight_decay 0.003 (0.3x baseline 0.01) for reduced regularization during resumed fine-tuning allowing finer parameter adjustments near optimum
2bbb744	4f86250	discard	0.009821	0.008793	0.686536	0.686536	0.008498	flat LR schedule on resume (no warmup, no cosine decay) for consistent gradient signal during resumed fine-tuning with coord_loss_weight 0.5
353a55f	2bbb744	promising	0.009783	0.007096	0.478756	0.680014	0.008049	AdamW beta2=0.95 on resume (vs default 0.999) for faster second-moment adaptation during short resumed fine-tuning with coord_loss_weight 0.5
c79f041	353a55f	discard	0.010308	0.007492	0.478009	0.681183	0.008338	batch_size 64 (1.33x baseline 48) for smoother gradient estimates reducing overfitting during resumed fine-tuning with beta2=0.95 and flat LR schedule
1cbe975	c79f041	discard	0.010083	0.007028	0.480891	0.681188	0.007795	AdamW beta1=0.85 on resume (vs 0.9) for faster first-moment gradient tracking complementing beta2=0.95 during resumed fine-tuning with coord_loss_weight 0.5
1515b01	1cbe975	discard	0.010404	0.007133	0.482088	0.670968	0.008712	coord_loss_weight 0.75 (1.5x) for stronger coordinate accuracy emphasis during resumed fine-tuning with beta2=0.95 (reverting failed beta1=0.85)
dbc87b3	1515b01	discard	0.009899	0.007044	0.482396	0.676785	0.007594	lr multiplier 0.2 (0.67x baseline 0.3) for more conservative resumed fine-tuning reducing late-training overfitting with beta2=0.95 flat LR coord_loss_weight 0.5
b129a3f	dbc87b3	promising	0.009630	0.007435	0.478033	0.680942	0.008048	batch_size 32 (0.67x baseline 48) for implicit regularization via gradient noise and more parameter updates per time budget during resumed fine-tuning with beta2=0.95 flat LR
48bbe68	b129a3f	discard	0.010749	0.007092	0.478359	0.681187	0.007848	weight_decay 0.03 (3x baseline 0.01) for stronger L2 regularization against overfitting during resumed fine-tuning with beta2=0.95 flat LR batch_size 32
6cf350d	48bbe68	promising	0.009339	0.006949	0.478044	0.681064	0.008426	cosine LR decay on resume (vs flat) for gradual learning rate reduction preventing late-training overfitting during resumed fine-tuning with beta2=0.95 batch_size 32
28bb6e4	6cf350d	promising	0.009388	0.007054	0.479407	0.684252	0.008255	batch_size 24 (0.75x current 32) for stronger implicit gradient-noise regularization and more parameter updates per time budget during resumed fine-tuning with cosine LR decay beta2=0.95
969fab2	28bb6e4	crash	0.000000	0.000000	0.000000	0.000000	0.000000	baseline dual-head unet
4308d8e	969fab2	discard	0.011913	0.007823	0.481671	0.683702	0.011087	cosine LR schedule (CosineAnnealingLR eta_min=1e-7) replacing aggressive ExponentialLR (2% floor) for smoother learning rate decay matching best historical scheduler during resumed fine-tuning
b92d733	4308d8e	discard	0.011293	0.008259	0.481805	0.680914	0.011291	beta2=0.95 (vs default 0.999) restoring optimizer momentum setting from best pre-dual-head configs (6cf350d 0.009339, 28bb6e4 0.009388) lost during dual-head baseline rewrite
